Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
106;1.55629e+15;0.999994;0.000151589;-800.033;837.311
107;1.55629e+15;0.999995;0.000149893;-800.547;836.797
108;1.55629e+15;0.999997;0.000148324;-800.987;836.329
109;1.55629e+15;0.999997;0.000148324;-800.987;836.329
110;1.55629e+15;0.999985;0.000136408;-798.581;833.923
111;1.55629e+15;0.999985;0.000136408;-798.581;833.923
112;1.55629e+15;0.999985;0.000136408;-798.581;833.923
113;1.55629e+15;0.999985;0.000136408;-798.581;833.923
114;1.55629e+15;0.999987;0.000134241;-799.238;833.267
115;1.55629e+15;0.999987;0.000134102;-799.28;833.224
116;1.55629e+15;0.99999;0.000131241;-800.147;832.357
117;1.55629e+15;0.99999;0.000131241;-800.147;832.357
118;1.55629e+15;0.99999;0.000131241;-800.147;832.357
119;1.55629e+15;0.99999;0.000131241;-800.147;832.357
120;1.55629e+15;0.999991;0.00013012;-800.487;832.017
121;1.55629e+15;0.999993;0.000128749;-800.902;831.602
122;1.55629e+15;0.999994;0.00012739;-801.314;831.19
123;1.55629e+15;0.999994;0.00012739;-801.314;831.19
124;1.55629e+15;0.999994;0.00012739;-801.314;831.19
125;1.55629e+15;0.999994;0.00012739;-801.314;831.19
126;1.55629e+15;0.999995;0.000126116;-801.7;830.804
127;1.55629e+15;0.999995;0.000123415;-801.836;830.122
128;1.55629e+15;0.999995;0.000123415;-801.836;830.122
129;1.55629e+15;0.999995;0.000123103;-801.931;830.028
130;1.55629e+15;0.999995;0.000122164;-801.741;829.838
131;1.55629e+15;0.999994;0.000121673;-801.642;829.739
132;1.55629e+15;0.999994;0.000121673;-801.642;829.739
133;1.55629e+15;0.999995;0.000120469;-802.007;829.374
134;1.55629e+15;0.999996;0.000119525;-802.293;829.088
135;1.55629e+15;0.999993;0.000116606;-801.704;828.499
136;1.55629e+15;0.999993;0.000116606;-801.704;828.499
137;1.55629e+15;0.999993;0.000116449;-801.752;828.451
138;1.55629e+15;0.999993;0.000116449;-801.752;828.451
139;1.55629e+15;0.999996;0.00011437;-802.382;827.821
140;1.55629e+15;0.999995;0.000114046;-802.316;827.756
141;1.55629e+15;0.999995;0.000114046;-802.316;827.756
142;1.55629e+15;0.999996;0.000113258;-802.555;827.517
143;1.55629e+15;0.999996;0.000112725;-802.716;827.355
144;1.55629e+15;0.999996;0.000112607;-802.692;827.332
145;1.55629e+15;0.999996;0.000112607;-802.692;827.332
146;1.55629e+15;0.999994;0.00011027;-802.221;826.86
147;1.55629e+15;0.999994;0.00011027;-802.221;826.86
148;1.55629e+15;0.999995;0.000109351;-802.499;826.581
149;1.55629e+15;0.999997;0.00010739;-803.094;825.987
150;1.55629e+15;0.999997;0.00010739;-803.094;825.987
151;1.55629e+15;0.999997;0.00010739;-803.094;825.987
152;1.55629e+15;0.999993;0.000103252;-802.258;825.151
153;1.55629e+15;0.999994;0.000102188;-802.581;824.829
154;1.55629e+15;0.999994;0.000102188;-802.581;824.829
155;1.55629e+15;0.999994;0.000101682;-802.734;824.676
156;1.55629e+15;0.999994;0.000101572;-802.768;824.642
157;1.55629e+15;0.999994;0.000101572;-802.768;824.642
158;1.55629e+15;0.999994;0.000101572;-802.768;824.642
159;1.55629e+15;0.999995;0.000100706;-803.03;824.38
160;1.55629e+15;0.999996;0.000100198;-803.184;824.226
161;1.55629e+15;0.999997;9.86653e-05;-803.648;823.762
162;1.55629e+15;0.999997;9.86653e-05;-803.648;823.762
163;1.55629e+15;0.999994;9.48008e-05;-802.868;822.981
164;1.55629e+15;0.999994;9.48008e-05;-802.868;822.981
165;1.55629e+15;0.999994;9.45559e-05;-802.942;822.907
166;1.55629e+15;0.999994;9.45559e-05;-802.942;822.907
167;1.55629e+15;0.999994;9.4088e-05;-803.084;822.765
168;1.55629e+15;0.999993;9.29303e-05;-802.85;822.532
169;1.55629e+15;0.999995;9.14562e-05;-803.297;822.085
